사고유형대분류,사고유형중분류,사고유형,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,13224,432,5909,7115,554
차대사람,차도통행중,차도통행중,4401,148,1617,2471,318
차대사람,길가장자리구역통행중,길가장자리구역통행중,2100,41,584,1377,174
차대사람,보도통행중,보도통행중,2589,24,822,1736,168
차대사람,기타,기타,14971,256,4694,9475,1348
차대차,정면충돌,정면충돌,7707,188,3337,8955,626
차대차,측면충돌,측면충돌,65221,396,15178,77566,5587
차대차,후진중충돌,후진중충돌,3629,6,257,4454,196
차대차,추돌,추돌,31204,329,6632,45609,2952
차대차,기타,기타,43915,252,9550,49451,4372
차량단독,전도,전도,972,83,369,406,231
차량단독,전복,전복,131,16,81,51,22
차량단독,공작물충돌,공작물충돌,2697,322,1240,1435,504
차량단독,주/정차차량 충돌,주/정차차량 충돌,35,4,9,23,4
차량단독,도로이탈,도로이탈 추락,360,81,201,137,51
차량단독,도로이탈,도로이탈 기타,165,20,73,85,37
차량단독,기타,기타,3511,134,1160,2082,513
철길건널목,철길건널목,철길건널목,4,3,2,2,1
